label,left_id,left_name,left_brand,left_descrtiption,left_price,right_id,right_name,right_brand,right_descrtiption,right_price
0,macmall_120,HP Inc.�ZBook 15 G5 8th Gen Intel Core i7-8750H 6-Core 2.20GHz Notebook PC - 16GB RAM 512GB PCIe NVMe SSD 15.6in FHD (1920x1080) eDP LED-backlit Touchscreen Display Intel UHD Graphics 630 GbE WiFi Bluetooth Webcam Windows 10 Pro 64 - Smart Buy�(4RB08UTABA),HP,"8th Gen Intel Core i7-8750H 6-Core 2.20GHz, 16GB DDR4-2666 SDRAM, 512GB PCIe NVMe SSD, 15.6in FHD (1920x1080) eDP LED-backlit Touchscreen Display, Intel UHD Graphics 630, Intel I219-LM GbE, 802.11ac, Bluetooth, 720p HD Webcam w/IR, Windows 10 Pro 64",2129.99,pcmg_10,Lenovo�ThinkPad T480 20L5 8th Gen Intel Core i7-8550U Quad-Core 1.80GHz Notebook PC - 8GB RAM 256GB SSD M.2 PCIe NVMe Opal2 14in FHD (1920x1080) IPS Display Intel UHD Graphics 620 Intel 8265ac 2x2 + BT4.1 720p Camera Windows 10 Pro 64 - TopSeller�(20L5000UUS),Lenovo,"8th Gen Intel Core i7-8550U Quad-Core 1.80GHz, 8GB RAM, 256GB SSD M.2 PCIe NVMe Opal2, 14in FHD (1920x1080) IPS Display, Integrated Intel UHD Graphics 620, Intel 8265ac, 2x2 + BT4.1, 720p Camera, Backlit Keyboard, Windows 10 Pro 64, 3-Year Depot Warranty",1399.99
0,antonline_197,HP ProBook x360 440 G1 14in Touchscreen LCD 2 in 1 Notebook,HP,0,784.26,antonline_345,HP EliteBook 840 G4 14in Touchscreen LCD Notebook,HP,0,1497.79
0,truecurate_452,Lenovo 81AC003EUS 720S-15IKB 15.6&ampquot Laptop Intel Core i7 4GB Memory NVIDIA GeForce GTX 1050 Ti Max-Q 256GB Solid State Drive Iron Gray ,Lenovo,0,0,bestbuy_128,Acer - TravelMate 15.6in Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Black,Acer,Windows 7 ProfessionalTechnical details: 6th Gen Intel� Core� i7-6500U processor; 15.6in display; 8GB memory; 256GB solid state driveSpecial features: fingerprint reader; backlit keyboardNote: DVD/CD drive not included,942.99
0,pcmg_411,Lenovo�ThinkPad T580 20L9 8th Gen Intel Core i5-8350U Quad-Core 1.7GHz Notebook PC - 8GB RAM 256GB SSD TCG Opal Encryption 2 NVMe 15.6in IPS touchscreen 1920 x 1080 (Full HD) UHD Graphics 620 Wi-Fi Bluetooth Microsoft Windows 10 Pro 64-bit - Black�(20L9001FUS),Lenovo,"8th Gen Intel Core i5-8350U Quad-Core 1.7GHz, 8GB RAM, 256GB SSD TCG Opal Encryption 2 NVMe, 15.6in IPS touchscreen 1920 x 1080 (Full HD), UHD Graphics 620, Wi-Fi, Bluetooth, Microsoft Windows 10 Pro 64-bit - Black",1499.99,macmall_692,ASUS�PRO P5440UF XB74 8th Gen Intel Core i7-8550U 1.8GHz Notebook PC - 16GB RAM 512GB SSD 14in 1920 x 1080 (Full HD) NVIDIA GeForce MX130 2GB GDDR5 HD Web Camera 802.11AC Bluetooth 4.2 3-cell Li-ion Microsoft Windows 10 Pro 64-bit�(P5440UF-XB74),ASUS,"8th Gen Intel Core i7-8550U 1.8GHz, 16GB DDR4 RAM, 512GB PCIE G3X4 SSD + TPM, 14in 1920 x 1080 (Full HD), NVIDIA GeForce MX130 2GB GDDR5, HD Web Camera, 802.11AC, Bluetooth 4.2, 3-cell Li-ion, Microsoft Windows 10 Pro 64-bit",1339.99
1,bestbuy_322,ASUS - Strix GL504GS 15.6in Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 1TB HDD + 256GB SSD - Black,ASUS,Windows 10 HomeNVIDIA GeForce GTX 1070 8GB dedicated graphicsTechnical details: 8th Gen Intel� Core� i7-8750H processor; 15.6in display; 16GB memory; 256GB solid state drive; 1TB Hybrid DriveSpecial features: Bluetooth; HDMI outputNote: DVD/CD drive not included,1999.99,cukusa_3,Asus ROG Strix SCAR II GTX 1070 Gaming Laptop [GL504GS-DS74],ASUS,0,1999
0,sdicraft_154,HP 17.3in ProBook 470 G5 Notebook,0,"Designed for professionals in corporate or SMB environments who want a combination of innovation, security, and multimedia capabilities, the 17.3.6in ProBook 470 G5 Notebook from HP is a full-featured, thin, and light system that lets users remain productive whether in the office or on-the-go. It is powered by a 1.6 GHz Intel Core i5-8250U Quad-Core processor and 8GB of 2400 MHz DDR4 RAM, allowing you to run multiple programs simultaneously and quickly access frequently used files and programs. When running more demanding programs or tasks, the processor can be boosted to achieve a speed of 3.4 GHz using Intel's Turbo Boost 2.0 technology, and the memory can also be upgraded to a maximum of 32GB.; The 17.3in anti-glare display features an HD+ 1600 x 900 screen resolution, a 16:9 aspect ratio, and LED-backlighting. The dedicated NVIDIA GeForce 930MX graphics card has 2GB of dedicated DDR3 memory and delivers a sharp, clear picture. You'll also be able to output video to an external display using the built-in HDMI 1.4b and VGA ports, as well as DisplayPort via USB Type-C.; For storage of your files, this system is equipped with a 500GB 7200 rpm SATA 2.5in hard drive, and there is also an empty M.2 slot for additional internal storage. If you want to add external storage, optical drives, memory card readers, printers, and more, the ProBook 470 G5 offers one USB 3.0 Type-C port, which supports Power Delivery, two USB 3.0 Type-A ports, and one powered USB 2.0 Type-A port. Gigabit Ethernet and 802.11ac 2x2 Wi-Fi are built-in for wired and wireless networking, and Bluetooth 4.2 technology will also allow you to connect additional compatible peripherals wirelessly. There is also an SD/SDHC/SDXC card reader, a 720p webcam, dual-array microphones, and stereo speakers.; HP's ProBook 470 G5 includes a 65W Smart AC adapter and a 3-cell / 48Wh long life lithium-ion battery that lasts for up to 14.25 hours before recharging is required. The installed operating system is Windows 10 Pro (64-bit).",469.69,antonline_323,HP ProBook 450 G5 15.6in LCD Notebook,HP,0,840.43
1,buydig_197,Dell 14in i7 8850H 16GB 256GB,Dell,0,1926.16,massgenie_450,Dell commercial d2dyw 14 i7 8850h 16gb 256gb,0,"$1955.05, NULL",1955.05
0,antonline_395,HP EliteBook x360 1030 G2 13.3in Touchscreen LCD 2 in 1 Notebook,HP,0,1617.99,antonline_873,Lenovo IdeaPad Flex 5-1570 81CA000UUS 15.6in Touchscreen LCD 2 in 1 Notebook,Lenovo,0,912.99
0,bestbuy_351,ASUS - VivoBook S15 15.6in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Starry Gray With Red Edges,ASUS,Windows 10 HomeTechnical details: 8th Gen Intel� Core� i5-8250U processor; 15.6in display; 8GB memory; 256GB solid state driveSpecial features: fingerprint reader; backlit keyboard; outdoor screenNote: DVD/CD drive not included,699.99,truecurate_399,Lenovo 20L5004HUS ThinkPad T480 14&ampquot Laptop Intel Core i5 8GB Memory 500GB Hard Drive Black ,Lenovo,0,0
0,truecurate_495,HP 15-CR0076NR Pavilion x360 2-in-1 15.6&ampquot Touch-Screen Laptop Intel Core i3 8GB Memory 1TB Hard Drive Finish In Pale Gold And Ash Silver ,HP,0,0,truecurate_59,HP 2ST02UT ProBook 15.6&ampquot Laptop Intel Core i5 4GB Memory 500GB Hard Drive Silver ,HP,0,0
