label,left_id,left_name,left_brand,left_descrtiption,left_price,right_id,right_name,right_brand,right_descrtiption,right_price
1,cukusa_18,Lenovo ThinkPad E580 15.6&ampquot Full HD Business Laptop 20KS003LUS,Lenovo,0,869.99,pcmg_38,Lenovo ThinkPad E580 20KS 8th Gen Intel Core i7-8550U Quad-Core 1.8GHz Notebook PC - 8GB RAM 500GB HDD 15.6in IPS 1920 x 1080 (Full HD) UHD Graphics 620 Wi-Fi Bluetooth Microsoft Windows 10 Pro 64-bit - Black (20KS003LUS),Lenovo,"8th Gen Intel Core i7-8550U Quad-Core 1.8GHz, 8GB RAM, 500GB HDD, 15.6in IPS 1920 x 1080 (Full HD), UHD Graphics 620, Wi-Fi, Bluetooth, Microsoft Windows 10 Pro 64-bit - Black",869.99
0,pcmg_350,HP Inc. ZBook 14u G5 8th Gen Intel Core i5-8350U Quad-Core 1.7GHz Mobile Workstation - 8GB RAM 256GB SSD  Z Turbo Drive NVMe 14in IPS Touchscreen 1920 x 1080 (Full HD) Radeon Pro WX 3100 / HD Graphics 620 Wi-Fi Bluetooth - turbo silver - kbd: US (3YE06UTABA),HP,"8th Gen Intel Core i5-8350U Quad-Core 1.7GHz, 8GB RAM, 256GB SSD Z Turbo Drive NVMe, 14in IPS Touchscreen 1920 x 1080 (Full HD), Radeon Pro WX 3100 / HD Graphics 620, Wi-Fi, Bluetooth, Microsoft Windows 10 Pro 64-bit",1609.99,macmall_40,Lenovo ThinkPad E580 20KS 8th Gen Intel Core i7-8550U Quad-Core 1.8GHz Notebook PC - 8GB RAM 500GB HDD 15.6in IPS 1920 x 1080 (Full HD) UHD Graphics 620 Wi-Fi Bluetooth Microsoft Windows 10 Pro 64-bit - Black (20KS003LUS),Lenovo,"8th Gen Intel Core i7-8550U Quad-Core 1.8GHz, 8GB RAM, 500GB HDD, 15.6in IPS 1920 x 1080 (Full HD), UHD Graphics 620, Wi-Fi, Bluetooth, Microsoft Windows 10 Pro 64-bit - Black",869.99
0,howardcomputer_2157,Dell Latitude 3490,Dell,0,576.99,howardcomputer_883,Dell Latitude 7490,Dell,0,1346.99
0,bestbuy_474,Dell - Latitude 14in Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black,Dell,windows 10 pro 7th gen intel® core™ i5 processor; 14in display; 8gb memory; 256gb solid state drive special features: bluetooth; hdmi output note: dvd/cd drive not included ,1399.99,truecurate_342,HP 1BS16UT ProBook 15.6&ampquot Laptop Intel Core i5 4GB Memory 500GB Hard Drive Black ,HP,0,0
0,truecurate_76,Dell LATI7480J350V Latitude 14&ampquot Laptop Intel Core i5 8GB Memory 256GB Solid State Drive Black ,Dell,0,0,bestbuy_18,Acer - 15.6in Chromebook - Intel Core i3 - 4GB Memory - 32GB Solid State Drive - Black,Acer,Google Chrome OSTechnical details: 5th Gen Intel® Core™ i3 processor; 15.6in display; 4GB memory; 32GB solid state driveSpecial features: Bluetooth; HDMI outputNote: DVD/CD drive not included,414.99
0,truecurate_225,HP 13-AH0010NR Envy 13.3&ampquot Touch-Screen Laptop Intel Core i7 8GB Memory 256GB Solid State Drive Finish In Natural Silver ,HP,0,0,truecurate_526,Lenovo 20KH002FUS ThinkPad X1 Carbon 14&ampquot Laptop Intel Core i7 16GB Memory 1TB Solid State Drive Black ,Lenovo,0,0
0,pcmg_439,Lenovo ThinkPad T480s Intel Core i7-8550U (1.80GHz 8MB) 14in FHD IPS Multitouch Display Windows 10 Pro 64 8GB RAM 1x256GB SSD PCIe Intel UHD 620 Bluetooth 4.1 720p HD Camera Backlit Keyboard Black 3-Year Depot (20L70023US),Lenovo,"Intel Core i7-8550U Quad-Core 1.80GHz, 8GB Soldered, 256GB SSD M.2 PCIe NVMe Opal2, 14in FHD (1920x1080) IPS 10-point Multi-touch Display, Intel UHD Graphics 620, Intel 8265 ac, 2x2 + BT4.1, WWAN Upgradable, 720p Camera, Windows 10 Pro 64, Black",1719.99,pcmg_655,Lenovo ThinkPad X1 Yoga (3rd Gen) 20LD 8th Gen Intel Core i7-8550U Quad-Core 1.80GHz Notebook PC - 8GB RAM 256GB SSD M.2 PCIe NVMe Opal2 14in FHD (1920x1080) IPS Touchscreen Display Intel UHD Graphics 620 Wi-Fi BT4.1 Windows 10 Pro 64 - Black (20LD001KUS),Lenovo,"8th Gen Intel Core i7-8550U Quad-Core 1.80GHz, 8GB Soldered, 256GB SSD M.2 PCIe NVMe Opal2, 14in FHD (1920x1080) IPS - 10-point Multi-touch Display, Intel UHD Graphics 620, Intel 8265 ac, 2x2 + Bluetooth 4.1, 720p Camera, Windows 10 Pro 64 - Black",1829.99
1,massgenie_756,Lenovo 20hk0013us p71win10pi78gb500gb3yr,0,"$1604.02, NULL",1604.02,pcmg_421,Lenovo ThinkPad P71 Intel Core i7-7700HQ Quad-Core 2.80GHz Notebook PC - 8GB RAM 500GB HDD 17.3in FHD IPS LCD Gigabit Ethernet 802.11ac Bluetooth 4.1 Fingerprint Reader - Black (20HK0013US),Lenovo,"Intel Core i7-7700HQ Quad-Core 2.80GHz, 8GB DDR4 SDRAM, 500GB SATA HDD, 17.3in FHD IPS LCD, NVIDIA Quadro M620, Gigabit Ethernet, 802.11ac, Bluetooth 4.1, Fingerprint Reader, Microsoft Windows 10 Pro 64-bit - Black",1449.99
1,sdicraft_170,HP 15.6in EliteBook 850 G4 Notebook,0,"Designed for mobile professionals who require a rugged notebook with enhanced system and graphics performance in a managed-IT environment, the 15.6in EliteBook 850 G4 Notebook from HP features comprehensive security and a collaborative experience that can handle demanding tasks with efficiency. It is powered by a 2.5 GHz Intel Core i5-7200U Dual-Core processor and 8GB of 2133 MHz DDR4 RAM, allowing you to run multiple programs simultaneously and quickly access frequently used files and programs. When running more demanding programs or tasks, the processor can be boosted to achieve a speed of 3.1 GHz.; The 15.6in SVA anti-glare display features a TN LCD mode and an HD 16:9 resolution of 1366 x 768. Visuals are handled by the integrated Intel HD Graphics 620 chipset, and you can output video to an external display using the DisplayPort 1.2 and VGA outputs at resolutions up to 4096 x 2304 @ 60 Hz.; For storage of your files, this system comes with a 256GB M.2 NVMe PCIe SSD that uses a PCIe 3.0 x4 interface and Tri-Level Cell (TLC) NAND flash memory. There is also one 2.5in / 7mm drive bay available for a SATA hard drive or SSD. If you want to add external storage, optical drives, mice, keyboards, printers, memory card readers, and more, the EliteBook 850 G4 offers one USB 3.0 Type-C port, two USB 3.0 Type-A ports, one of which doubles as a charging port, and a docking connector. Built-in Bang & Olufsen stereo speakers, dual microphones, and a 720p webcam let you participate in video calls for work or with friends and family. Connect to the Internet via 802.11ac Wi-Fi or Gigabit Ethernet LAN for a more stable and reliable connection. Furthermore, to free up USB ports and reduce wire clutter, you can connect additional peripherals and devices using Bluetooth 4.2, while a built-in 3-in-1 media card reader supports SD/SDHC/SDXC formats.; The EliteBook 850 G4 notebook operates using an included 65W Smart AC adapter that runs using 90-265 VAC at 47-63 Hz, and a 3-cell / 51Wh lithium-ion polymer long life battery that will last for up to 14.25 hours before recharging is required. The battery also supports HP Fast Charging, which will charge the battery to 50% in around 30 minutes when the system is off or in standby mode, and the installed operating system is Windows 10 Pro (64-bit).",675.05,truecurate_29,HP 1BS46UT EliteBook 15.6&ampquot Laptop Intel Core i5 8GB Memory 256GB Solid State Drive Silver ,HP,0,0
1,buydig_377,Hewlett Packard 15in  i3 8130  8G 1T TCH W10 2c,HP,0,765.53,truecurate_495,HP 15-CR0076NR Pavilion x360 2-in-1 15.6&ampquot Touch-Screen Laptop Intel Core i3 8GB Memory 1TB Hard Drive Finish In Pale Gold And Ash Silver ,HP,0,0
