offerid	clusterid	size	productname	brand	description	id1	id2	id3	price	currency
abt_101	cluster_22242	6	MSI PS Series Aluminum Silver Laptop Computer	MSI	1.60GHz (Turbo Boost Up To 3.40GHz) Intel Core i5-8250H Processor/ 14.0in (1920x1080) LED Backlit Display/ 8GB DDR4 2400MHz Memory/ 512GB SSD/ NVIDIA GeForce MX 150 With 2GB GDDR5 Memory/ 720p Webcam/ Bluetooth 5.0/ Backlit Keyboard/ Windows 10 Pro 64-Bit/ Aluminum Silver Finish	8.24142E+11			1019	USD
abt_117	cluster_22440	8	Lenovo ThinkPad X1 Yoga Silver Laptop Computer	Lenovo	1.60GHz (Turbo Boost Up To 3.40GHz) Intel Core i5-8250U Processor/ 14.0in (1920 x 1080) IPS LED Backlit Touchscreen Display/ 256GB SSD M.2 PCIe NVMe Opal2/ 8GB Memory/ Intel UHD Graphics 620/ Backlit Keyboard/ Bluetooth 4.1/ 6MB Cache/ ThinkPad Pen Pro/ 720p Webcam/ Windows 10 Pro 64-Bit/ Silver Finish	1.9233E+11			1669	USD
abt_118	cluster_21982	6	Asus ROG Strix SCAR II GL704 Black Gaming Laptop Computer	ASUS	2.20GHz (Turbo Boost Up To 3.90GHz) Intel Core i7-8750H Processor/ 17.3in FHD (1920x1080) Matte 144Hz 3ms LED Backlit IPS-Level Display/ 256GB NVMe/PCIE SSD + 1TB 5400rpm SATA Hard Drive/ 16GB DDR4 Memory/ NVIDIA GTX1060 With 6GB GDDR5 Memory/ 802.11ac/ Bluetooth 5.0/ HD Web Camera/ Windows 10 64-Bit/ Black Finish	1.92876E+11			1699	USD
abt_140	cluster_22605	20	Lenovo IdeaPad 330 Platinum Gray Notebook Computer	Lenovo	1.60GHz (Turbo Boost Up To 3.40GHz) Intel Core i5-8250U Processor/ 15.6in (1366x768) LED Backlit Touchscreen Display/ 1TB 5400 RPM SATA Hard Drive/ 8GB DDR4 SDRAM Memory/ 6MB Cache/ Intel HD Graphics 620/ 802.11ac/ Bluetooth 4.1/ 720p Webcam/ Windows 10 Home 64-Bit/ Platinum Gray Finish	1.92331E+11			689.99	USD
abt_24	cluster_22439	7	Apple MacBook 12in With 1.2GHz Intel Core M3 Space Grey	Apple	1.2GHz Dual-Core Intel Core m3 Processor (Turbo Boost Up To 3.0GHz)/ 8GB Of 1866MHz LPDDR3 Onboard Memory/ 12-Inch LED-Backlit Retina Display/ 2304-By-1440 Resolution At 226 Pixels Per Inch/ 16:10 Aspect Ratio/ 256GB PCIe-Based Onboard Flash Storage/ Intel HD Graphics 615/ 802.11ac Wi-Fi/ Bluetooth 4.2 Wireless Technology/ USB-C Port/ 480p FaceTime Camera/ Force Touch Trackpad/ Built-In 41.4-Watt-Hour Lithium-Polymer Battery/ macOS Sierra Operating System/ Space Grey Finish	1.90198E+11			1299	USD
abt_27	cluster_22137	6	Samsung Chromebook Pro Laptop Computer	Samsung	Intel Core M3 Processor 6Y30/ 2.2Ghz Speed/ LCD Size 12.3in/ Built-In Pen/ Thin And Lightweight/ Storage Capacity 32GB/ ENERGY STAR Certified/ Battery Life 9 Hours/ Spill Resistant/ Bluetooth 4.1/ Intel HD Graphics 515/ 2.2Ghz Speed/ Chrome OS/ Black Finish	8.87276E+11			599	USD
abt_34	cluster_22461	9	Asus ZenBook Flip Slate Gray Notebook Computer	ASUS	1.60GHz (Turbo Boost Up To 3.40GHz) Intel Core i5-8250U Processor/ 14in FHD (1920 x 1080) Glossy Touchscreen LED Backlit Display/ 8GB LPDDR3 Memory/ 256GB SSD/ 6MB Cache/ Intel HD Graphics 620/ 802.11ac/ Bluetooth 4.2/ HD Webcam/ Windows 10 Home 64-Bit/ Slate Gray Finish	8.8935E+11			899	USD
abt_37	cluster_22544	9	Asus ROG Strix Scar GL703 Black Gaming Laptop Computer	ASUS	2.20GHz (Turbo Boost Up To 3.90GHz) Intel Core i7-8750H Processor/ 17.3in FHD (1920x1080) Matte 144Hz 3ms LED Backlit G-SYNC Display/ 256GB NVMe/PCIE SSD + 1TB SSHD (8GB Cache) FireCuda/ 16GB DDR4-2666MHz Memory/ NVIDIA GTX1070 With 8GB GDDR5 Memory/ 802.11ac/ Bluetooth 4.1/ HD Web Camera/ Windows 10 64-Bit/ Black Finish	8.8935E+11			1899	USD
abt_4	cluster_22083	6	Asus Chromebook Flip C302 Silver Laptop Computer	ASUS	900 MHz (Turbo Boost Up To 2.20GHz) Intel Core m3-6Y30 Processor/ 12.5in FHD (1920x1080) LED Backlit Touch Screen With Corning Gorilla Glass/ 64GB eMMC Storage/ 4GB LPDDR3 Memory/ 4MB Cache/ Intel HD Graphics 515/ Bluetooth 4.0/ HD Web Camera/ 360 Degree Hinge/ Chrome OS/ Silver Finish	8.89349E+11			499	USD
abt_40	cluster_22469	8	Asus VivoBook S Gold Notebook Computer	ASUS	1.80GHz (Turbo Boost Up To 4.00GHz) Intel Core i7-8550U Processor/ 15.6in NanoEdge (1920x1080) LED Backlit WideView Display/ 128GB SSD + 1TB 5400 RPM SATA Hard Drive/ 8GB DDR4 Memory/ 8MB Cache/ Intel UHD Graphics 620/ 802.11ac/ Bluetooth 4.1/ VGA Webcam/ Backlit Keyboard/ Fingerprint Sensor/ Windows 10 Home 64-Bit/ Gold Finish	8.8935E+11			799	USD
